Kingdom	Phylum	Class	Order	Family	Genus	Species	Full_name	Heterotroph	Autotroph	Organotroph	Lithotroph	Chemotroph	Phototroph	Copiotroph_Diazotroph	Methylotroph	Oligotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	marinimaniae	Colwellia marinimaniae Kusube et al. 2017	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Chthonobacter	albigriseus	Chthonobacter albigriseus Kim et al. 2017	0	0	0	0	0	0	0	0	1
Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Halofilum	ochraceum	Halofilum ochraceum Xia et al. 2017	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	amurskyense	Cyclobacterium amurskyense Nedashkovskaya et al. 2005 emend. Hahnke et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	glaciei	Psychrobacter glaciei Zeng et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Chromobacteriaceae	Vogesella	facilis	Vogesella facilis Sheu et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Sporosalibacterium	tautonense	Sporosalibacterium tautonense Podosokorskaya et al. 2017	0	0	1	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Thermodesulfobium	acidiphilum	Thermodesulfobium acidiphilum Frolov et al. 2017	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Rectinema	cohabitans	Rectinema cohabitans Koelschbach et al. 2017	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Acidobacteria	Subgroup_6	Unknown_Order	Unknown_Family	Luteitalea	pratensis	Luteitalea pratensis Vieira et al. 2017	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Hydrogenophilaceae	Sulfuritortus	calidifontis	Sulfuritortus calidifontis Kojima et al. 2017	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Vitiosangium	subalbum	Vitiosangium subalbum Awal et al. 2017	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Vitiosangium	cumulatum	Vitiosangium cumulatum Awal et al. 2017	0.5	0	0	0	0.5	0	0	0	0
